x_test,y_test,y_pred,GerçekFark,TahminFark,Gerçek,Tahmin,Ongoru,Skor,mean_squared_error
0.064954,0.065157,0.04278822568297061,0.00020300597,-0.02216577204823819,True,False,False,-14.249097214764745,0.022974713268445496
0.060634,0.061535,0.04133372966207011,0.00090100244,-0.019300268702140022,True,False,False,-14.249097214764745,0.022974713268445496
0.071056,0.071632,0.04346872746991473,0.00057599694,-0.027587273418432895,True,False,False,-14.249097214764745,0.022974713268445496
0.060585,0.060444,0.04178860814548516,-0.00014099851,-0.018796391475429303,False,False,False,-14.249097214764745,0.022974713268445496
0.06406,0.064216,0.04271683023044254,0.00015600026,-0.021343172334941374,True,False,False,-14.249097214764745,0.022974713268445496
0.063183,0.064002,0.04281555306225021,0.0008189976,-0.020367449111650393,True,False,False,-14.249097214764745,0.022974713268445496
0.0643,0.064768,0.043135937062805246,0.00046800077,-0.021164063604766775,True,False,False,-14.249097214764745,0.022974713268445496
0.05895,0.058466,0.04157467612180141,-0.0004840009,-0.017375323389440506,False,False,False,-14.249097214764745,0.022974713268445496
0.067698,0.067245,0.042811800966787994,-0.00045300275,-0.02488620089478427,False,False,False,-14.249097214764745,0.022974713268445496
0.062165,0.062624,0.04165828285206308,0.00045900047,-0.020506716692557436,True,False,False,-14.249097214764745,0.022974713268445496
0.067007,0.066497,0.04235432443473339,-0.0005099997,-0.024652673329377178,False,False,False,-14.249097214764745,0.022974713268445496
0.056634,0.056225,0.04169083545262475,-0.00040899962,-0.014943165981224582,False,False,False,-14.249097214764745,0.022974713268445496
0.066497,0.066774,0.042369205147529565,0.00027700514,-0.024127792924140967,True,False,False,-14.249097214764745,0.022974713268445496
0.071855,0.071494,0.044634860742446186,-0.00036100298,-0.02722014040911555,False,False,False,-14.249097214764745,0.022974713268445496
0.060213,0.059351,0.042503973674506174,-0.00086199865,-0.017709025907784476,False,False,False,-14.249097214764745,0.022974713268445496
0.063907,0.063835,0.042762323846061795,-7.199496e-05,-0.02114467359618369,False,False,False,-14.249097214764745,0.022974713268445496
0.062331,0.062219,0.04179472201070736,-0.00011199713,-0.02053627646961262,False,False,False,-14.249097214764745,0.022974713268445496
0.064002,0.064631,0.04283602339409329,0.00062900037,-0.021165976401343572,True,False,False,-14.249097214764745,0.022974713268445496
0.056968,0.057266,0.0416378475481686,0.00029800087,-0.015330152237969935,True,False,False,-14.249097214764745,0.022974713268445496
0.06599,0.068148,0.042821373851431116,0.002158001,-0.023168627111779944,True,False,False,-14.249097214764745,0.022974713268445496
0.059347,0.057436,0.04174485769753605,-0.0019109994,-0.017602142275522648,False,False,False,-14.249097214764745,0.022974713268445496
0.057021,0.057537,0.04133524997334792,0.00051600114,-0.01568574951786683,True,False,False,-14.249097214764745,0.022974713268445496
0.061569,0.06002,0.04181331950276143,-0.0015490018,-0.019755682022879056,False,False,False,-14.249097214764745,0.022974713268445496
0.059765,0.06078,0.04220897609632984,0.001015,-0.017556023799958076,True,False,False,-14.249097214764745,0.022974713268445496
0.059116,0.059046,0.042125008193262786,-6.9998205e-05,-0.01699099025367859,False,False,False,-14.249097214764745,0.022974713268445496
0.069162,0.066687,0.044592862899060504,-0.002475001,-0.02456914079690431,False,False,False,-14.249097214764745,0.022974713268445496
0.063139,0.061269,0.0421481016846717,-0.0018699989,-0.02099089736022347,False,False,False,-14.249097214764745,0.022974713268445496
0.066417,0.066797,0.0429222393553485,0.00038000196,-0.02349476183245286,True,False,False,-14.249097214764745,0.022974713268445496
0.057064,0.057239,0.04166920262334478,0.00017499924,-0.015394797893785117,True,False,False,-14.249097214764745,0.022974713268445496
0.064259,0.064586,0.04193484927067556,0.00032699853,-0.022324150851871588,True,False,False,-14.249097214764745,0.022974713268445496
0.070191,0.070257,0.043417815140043364,6.599724e-05,-0.0267731882421626,True,False,False,-14.249097214764745,0.022974713268445496
0.059182,0.059372,0.04166047486261046,0.00019000098,-0.017521524552548767,True,False,False,-14.249097214764745,0.022974713268445496
0.080685,0.080974,0.04444981710241275,0.00028900057,-0.03623518003894849,True,False,False,-14.249097214764745,0.022974713268445496
0.075422,0.075189,0.04427695853135749,-0.00023299456,-0.031145037883303917,False,False,False,-14.249097214764745,0.022974713268445496
0.05913,0.059644,0.04183368006302568,0.0005139969,-0.017296321750147614,True,False,False,-14.249097214764745,0.022974713268445496
0.076391,0.075481,0.04446694745497365,-0.000909999,-0.03192404912038188,False,False,False,-14.249097214764745,0.022974713268445496
0.065002,0.065565,0.04210693681986338,0.0005629957,-0.0228950650021314,True,False,False,-14.249097214764745,0.022974713268445496
0.062766,0.064811,0.04330959148986788,0.002044998,-0.019456409138603498,True,False,False,-14.249097214764745,0.022974713268445496
0.063434,0.064784,0.04298805908333131,0.0013500005,-0.020445938249718465,True,False,False,-14.249097214764745,0.022974713268445496
0.062457,0.062959,0.042796871233878375,0.0005020015,-0.01966012774020648,True,False,False,-14.249097214764745,0.022974713268445496
0.074711,0.072592,0.04340122106548433,-0.0021190047,-0.03130978134397383,False,False,False,-14.249097214764745,0.022974713268445496
0.064493,0.065208,0.04281965613579275,0.0007150024,-0.021673344371561987,True,False,False,-14.249097214764745,0.022974713268445496
0.072391,0.071589,0.043909070254115196,-0.00080200285,-0.02848193311616984,False,False,False,-14.249097214764745,0.022974713268445496
0.06096,0.060213,0.04256256672183864,-0.00074699894,-0.01839743179638989,False,False,False,-14.249097214764745,0.022974713268445496
0.063751,0.064006,0.04343343990645368,0.00025500357,-0.020317557279253412,True,False,False,-14.249097214764745,0.022974713268445496
