"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"23.02.2021","AAK","ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON","4,408717","21.495.185,00","402","94.766.196,55"
"23.02.2021","AAL","ATA PORTFÖY PARA PİYASASI FONU","0,647242","441.811.655,00","3.414","285.958.936,73"
"23.02.2021","AAS","ATA PORTFÖY FON SEPETİ SERBEST FONU","3,420117","22.526.268,00","62","76.708.076,49"
"23.02.2021","AAV","ATA PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","4,810401","46.953.264,00","122","225.864.035,06"
"23.02.2021","ABU","AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON","0,021462","253.585.948,00","100","5.442.549,31"
"23.02.2021","ACC","İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)","2,803105","5.736.018,00","190","16.078.658,43"
"23.02.2021","ACD","İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON","0,432482","56.969.094,00","335","24.638.104,54"
"23.02.2021","ACK","İSTANBUL PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","0,060962","402.090.630,57","85","24.512.052,37"
"23.02.2021","ACN","İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON","1,697175","41.297.672,00","17","70.089.391,24"
"23.02.2021","ACU","İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON","8,492186","10.572.650,00","45","89.784.915,21"
"23.02.2021","ACZ","İSTANBUL PORTFÖY HİTİT SERBEST FON","1,936109","24.631.770,00","5","47.689.800,15"
"23.02.2021","ADE","AK PORTFÖY DEĞİŞKEN FON","0,190144","1.269.300.432,00","28.160","241.349.712,26"
"23.02.2021","ADP","AK PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,099540","397.455.388,00","1.678","39.562.872,97"
"23.02.2021","AED","ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON","10,568144","7.046.338,00","598","74.466.713,46"
"23.02.2021","AES","AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU","0,011792","25.086.757.509,00","6.515","295.816.336,35"
"23.02.2021","AFA","AK PORTFÖY  AMERİKA YABANCI HİSSE SENEDİ FONU","0,103684","1.338.514.814,00","4.113","138.783.176,78"
"23.02.2021","AFO","AK PORTFÖY ALTIN FONU","0,089017","6.288.930.681,00","14.574","559.824.714,74"
"23.02.2021","AFS","AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU","0,042682","3.857.967.554,00","4.266","164.665.670,83"
