"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"PYL","AZİMUT PORTFÖY 11.0 SERBEST FON","Serbest Şemsiye Fonu","1,1462","-","-","2,7619","-","-","-"
"HMT","AZİMUT PORTFÖY 12.0 SERBEST FON","Serbest Şemsiye Fonu","0,2952","-","-","-","-","-","-"
"PSL","AZİMUT PORTFÖY 8.0 SERBEST FON","Serbest Şemsiye Fonu","3,8172","-1,7610","-","1,6274","-","-","-"
"DDA","DENİZ PORTFÖY ALTINCI SERBEST FON","Serbest Şemsiye Fonu","-2,7273","-1,5841","-","-8,4764","-","-","-"
"DFR","DENİZ PORTFÖY ARSLAN SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"DSS","DENİZ PORTFÖY BADE SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","4,8570","0,2181","8,5544","2,9589","-","-","-"
"DFG","DENİZ PORTFÖY EGE SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"DFS","DENİZ PORTFÖY FRS SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"DRS","DENİZ PORTFÖY GÜL SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"DFK","DENİZ PORTFÖY HLC SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"DKF","DENİZ PORTFÖY INND SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"DOF","DENİZ PORTFÖY KUZEY SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"DFZ","DENİZ PORTFÖY LARA SERBEST ÖZEL FON","Serbest Şemsiye Fonu","0,0000","0,1370","-","3,0138","-","-","-"
"DFV","DENİZ PORTFÖY MERT SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"DFL","DENİZ PORTFÖY OLMİ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"DRR","DENİZ PORTFÖY REYHAN SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"DSC","DENİZ PORTFÖY RÜ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"DDP","DENİZ PORTFÖY SK SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","0,7487","-1,9209","10,9666","1,2008","-","-","-"
"DTT","DENİZ PORTFÖY SSM SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"DOB","DENİZ PORTFÖY TÜRKİZ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"FBZ","FİBA PORTFÖY ROTA SERBEST FON","Serbest Şemsiye Fonu","1,2047","-","-","2,7310","-","-","-"
"FBN","FİBA PORTFÖY SAFİR SERBEST FON","Serbest Şemsiye Fonu","1,0781","-","-","2,4798","-","-","-"
"FZP","FİBA PORTFÖY SERBEST FON","Serbest Şemsiye Fonu","1,3322","4,5046","-","2,8860","-","-","-"
