"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"TE4","TEB PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","0,5847","-","-","-","-","-","-"
"TTS","TEB PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,4313","-1,9712","5,6427","1,0208","-","-","-"
"TMR","TEB PORTFÖY MAKRO SERBEST FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"TLY","TERA PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"UAP","ÜNLÜ PORTFÖY ALTINCI SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-","-","0,0000","-","-","-","-"
"GGL","ÜNLÜ PORTFÖY YEDİNCİ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","2,3257","-1,1689","-","2,1992","-","-","-"
"YCK","YAPI KREDİ PORTFÖY CİHANGİR SERBEST FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"YZG","YAPI KREDİ PORTFÖY GÜMÜŞ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2,1589","-","-","-","-","-","-"
"YZK","YAPI KREDİ PORTFÖY KALAMIŞ SERBEST FON","Serbest Şemsiye Fonu","0,6688","-","-","-","-","-","-"
"YOP","YAPI KREDİ PORTFÖY ODEABANK İKİNCİ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","1,1838","3,9337","10,1774","2,2069","-","-","-"
"YZF","YAPI KREDİ PORTFÖY PY ERENKÖY  SERBEST (DÖVIZ) ÖZEL FON","Serbest Şemsiye Fonu","0,6330","4,5863","16,1823","2,7410","-","-","-"
"YPV","YAPI KREDİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","0,2908","2,8400","13,3569","0,3363","-","-","-"
"ZDD","ZİRAAT PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,3555","3,7827","8,7915","2,5721","-","-","-"
"HPC","ZİRAAT PORTFÖY HEDEF SERBEST ÖZEL FON","Serbest Şemsiye Fonu","1,0496","6,0713","16,5228","2,8276","-","-","-"
"VFK","ZİRAAT PORTFÖY İKİNCİ KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU","Katılım Şemsiye Fonu","1,2088","3,6255","6,2588","2,5517","-","-","-"
"ZSF","ZİRAAT PORTFÖY S&P/OIC COMCEC (İSEDAK) 50 SHARİAH ENDEKSİ YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","-","-","-","-","-","-","-"
"ZDZ","ZİRAAT PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","0,6977","3,6426","11,5880","0,4921","-","-","-"
"PRF","AZİMUT PORTFÖY IRF SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-25,4773","-29,9152","-17,3339","-25,8086","-2,0028","-","-"
"GKF","GLOBAL MD PORTFÖY KATILIM FONU","Katılım Şemsiye Fonu","-3,3390","-2,2773","-3,1710","-2,9700","-2,7182","-","-"
"AVC","ATA PORTFÖY İKİNCİ SERBEST FONU","Serbest Şemsiye Fonu","0,7938","57,5580","164,3786","-1,7906","-4,2743","15,2261","13,7629"
"IBE","İSTANBUL PORTFÖY BEŞİNCİ SERBEST FON","Serbest Şemsiye Fonu","3,4240","1,4336","-9,7431","1,5751","-5,8495","-","-"
"ADP","AK PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-5,3341","-1,2648","28,4716","-9,3375","-6,6623","-18,6675","14,4108"
"TAU","İŞ PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-5,1349","-1,2167","27,3832","-9,1455","-7,5782","-18,4916","12,6435"
"ATJ","AZİMUT PORTFÖY ÇINAR SERBEST ÖZEL FON","Serbest Şemsiye Fonu","1,2099","-0,0320","-","-1,1651","-10,8798","-","-"
"ELZ","QİNVEST PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","3,1483","-","-","8,7947","-29,7783","10,8830","-"
"KTE","KT PORTFÖY CEYLAN KİRA SERTİFİKALARI KATILIM SERBEST(DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-20,5937","-50,3197","-56,1783","-43,1119","-29,8250","-","-"
"KOP","QİNVEST PORTFÖY İKİNCİ SERBEST FON","Serbest Şemsiye Fonu","4,6227","1,9009","-49,7323","4,1328","-46,4902","-9,7341","-"
"PLS","DENİZ PORTFÖY LARA SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","2,5467","-3,8506","-65,5598","8,1877","-60,9322","-","-"
"DAZ","DENİZ PORTFÖY TÜRKIZ SERBEST(DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","4,6359","-8,8620","-2,5832","-3,9218","-84,8589","-","-"
"AZZ","AK PORTFÖY ÖPY MUTLAK GETİRİ HEDEFLİ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","0,0000","-","-"
"DPU","DENİZ PORFÖY TUAL SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-","0,0000","0,0000","0,0000","0,0000","-","-"
"GGB","GARANTİ PORTFÖY ARK SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-","-","0,0000","-","0,0000","-","-"
"GDL","GARANTİ PORTFÖY ONUNCU SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","0,0000","-","0,0000","-","-"
"CEY","İŞ PORTFÖY CEY SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-","-","0,0000","-","0,0000","-","-"
"IMV","İŞ PORTFÖY MAVİ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-","-","0,0000","-","0,0000","-","-"
"MSH","MAQASİD PORTFÖY İKİNCİ  KATILIM SERBEST FON","Serbest Şemsiye Fonu","-","0,0000","0,0000","-","0,0000","-","-"
"MSB","MAQASİD PYŞ BİRİNCİ KATILIM SERBEST(DÖVİZ)FON","Serbest Şemsiye Fonu","-","-","0,0000","-","0,0000","-","-"
"MVK","MAQASİD PYŞ KISA VADELİ KATILIM SERBEST FON","Serbest Şemsiye Fonu","-","0,0000","0,0000","-","0,0000","-","-"
"KSD","QİNVEST PORTFÖY BİRİNCİ KATILIM SERBEST FON","Serbest Şemsiye Fonu","-","0,0000","0,0000","-","0,0000","-","-"
"FUR","QNB FİNANS PORTFÖY ŞEDELE SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","0,0000","-","-"
"TMO","TEB PORTFÖY TEB GRUBU DEĞİŞKEN ÖZEL FON","Değişken Şemsiye Fonu","-","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
