"oncekifiyat","tarih","fonkodu","fonadi","fiyat","paysayisi","kisisayisi","toplamdeger","tarih","fonkodu","fonadi","bankabonosu","diger","dovizodemebono","devlettahvili","dovizodemetahvil","eurobond","finansmanbonosu","fonkatilmabelgesi","gayrimenkulsertifikasi","hazinebonosu","hissesenedi","kamudisiborcaraclari","katilimhesabi","kamukirasertifikalari","kiymetlimadenler","ozelsektorkirasertifikalari","ozelsektortahvili","repo","turevaraclari","tpp","tersrepo","varligadaymenkulkiymetler","vadelimevduat","yabanciborclanmaaraclari","yabancihissesenedi","yabancimenkulkiymet"
,2021-01-04,ACZ,İSTANBUL PORTFÖY HİTİT SERBEST FON,1.955575,24657182,5.0,48218970.03,2021-01-04,ACZ,İSTANBUL PORTFÖY HİTİT SERBEST FON,0,0,0,0,0,27.6,25.92,17.12,0,0,0,0,0,0,0,0,13.57,0,0,8.74,0,1.77,1.41,0,0,3.87
,2021-01-04,ADE,AK PORTFÖY DEĞİŞKEN FON,0.186355,1294670959,28454.0,241268969.33,2021-01-04,ADE,AK PORTFÖY DEĞİŞKEN FON,0,0,0,0.02,0,0,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0.01,90.95,0,0,0,0,0
,2021-01-04,ADP,AK PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),0.109698,510426920,1862.0,55992646.76,2021-01-04,ADP,AK PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),0,0,0,1.47,0,0,0,0,0,0,93.25,0,0,0,0,0,0,0,0,5.28,0,0,0,0,0,0
,2021-01-04,AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,10.186157,5380553.0,598.0,54807157.51,2021-01-04,AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,0,0,0,2.7,0,0,7.19,6.02,0,0,67.55,0,0,0,0,0,0,0,7.36,0,5.48,0,3.7,0,0,0
,2021-01-04,AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,0.010089,32441043266,6948.0,327298231.48,2021-01-04,AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,0,5.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,95.37,0
,2021-01-04,AFA,AK PORTFÖY  AMERİKA YABANCI HİSSE SENEDİ FONU,0.104448,1368993590,4019.0,142988859.45,2021-01-04,AFA,AK PORTFÖY  AMERİKA YABANCI HİSSE SENEDİ FONU,0,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,98.23,0
,2021-01-04,AFO,AK PORTFÖY ALTIN FONU,0.10027,7773879420,15115.0,779488876.06,2021-01-04,AFO,AK PORTFÖY ALTIN FONU,0,0.46,0,0,0,0,0,0,0,0,0,0,5.01,67.6,27,0,0,0,0,0,0,0,0,0,0,0
,2021-01-04,AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,0.04269,2690358265,2405.0,114850077.26,2021-01-04,AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,94.76,0
,2021-01-04,AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,0.083104,19396595529,27345.0,1611931482,2021-01-04,AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,0,0,0,0,98.39,0
,2021-01-04,AFV,AK PORTFÖY  AVRUPA YABANCI HİSSE SENEDİ FONU,0.056907,1645482721,1648.0,93640059.61,2021-01-04,AFV,AK PORTFÖY  AVRUPA YABANCI HİSSE SENEDİ FONU,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,98.68,0
