"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"01.07.2021","IMY","İŞ PORTFÖY SKYLARK SERBEST (DÖVİZ) ÖZEL FON","9,596004","12.678.621,00","6","121.664.094,87"
"01.07.2021","IMZ","İŞ PORTFÖY POYRAZ SERBEST (DÖVİZ) ÖZEL FON","9,376245","4.518.762,00","7","42.369.019,03"
"01.07.2021","INH","GARANTİ PORTFÖY ING BANK ÖZEL BANKACILIK VE PLATİNUM DEĞİŞKEN ÖZEL FON","1,837183","51.663.639,00","368","94.915.553,54"
"01.07.2021","IOG","İŞ PORTFÖY GÜMÜŞ SERBEST FON","1,131057","146.418.382,00","462","165.607.566,71"
"01.07.2021","IOP","İŞ PORTFÖY ODEABANK PARA PİYASASI FONU","1,163939","532.555.821,00","2.195","619.862.226,60"
"01.07.2021","IPA","İŞ PORTFÖY SÜTAŞ İKİNCİ SERBEST ÖZEL FON","0,064745","1.439.072.899,00","16","93.173.020,92"
"01.07.2021","IPB","İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON","0,048357","1.299.549.582,57","1.528","62.842.938,90"
"01.07.2021","IPC","İŞ PORTFÖY CK SERBEST ÖZEL FON","6,139970","16.763.387,00","1","102.926.701,47"
"01.07.2021","IPE","İŞ PORTFÖY ANADOLU SİGORTA SERBEST ÖZEL FON","2,227354","212.854.136,00","3","474.101.487,37"
"01.07.2021","IPF","PERFORM PORTFÖY İKİNCİ SERBEST FON","0,024262","3.071.487.080,00","5","74.520.410,89"
"01.07.2021","IPG","İŞ PORTFÖY KAPİTAL SERBEST FON","1,590929","79.375.343,00","13","126.280.523,13"
"01.07.2021","IPJ","İŞ PORTFÖY ELEKTRİKLİ ARAÇLAR KARMA FON","2,793625","288.863.957,00","25.219","806.977.572,88"
"01.07.2021","IPK","İŞ PORTFÖY KOS SERBEST ÖZEL FON","6,357532","64.762.446,00","1","411.729.296,99"
"01.07.2021","IPO","İŞ PORTFÖY ONUR SERBEST ÖZEL FON","4,461702","42.121.123,00","3","187.931.903,73"
"01.07.2021","IPP","PERFORM PORTFÖY BIRINCI SERBEST FON","0,015172","5.725.998.414,00","28","86.873.842,35"
"01.07.2021","IPR","İŞ PORTFÖY ICARUS SERBEST ÖZEL FON","6,221543","60.334.794,00","3","375.375.497,36"
"01.07.2021","IPU","İŞ PORTFÖY AS SERBEST ÖZEL FON","6,542411","116.663.621,00","1","763.261.399,73"
"01.07.2021","IPV","İŞ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU","10,614765","43.071.985,00","5.707","457.198.995,13"
"01.07.2021","ISR","İŞ PORTFÖY BİRİNCİ SERBEST ÖZEL FON","2,974020","59.816.143,00","13","177.894.393,90"
"01.07.2021","ISS","İŞ PORTFÖY DEĞER SERBEST ÖZEL FON","0,034611","706.985.994,00","9","24.469.818,93"
"01.07.2021","IST","İSTANBUL PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","0,034764","15.704.942.530,03","1.344","545.972.015,29"
"01.07.2021","ITJ","İSTANBUL PORTFÖY SEKİZİNCİ SERBEST FON","0,000000","0,00","0","0,00"
"01.07.2021","ITP","İŞ PORTFÖY TEKNOLOJİ KARMA FON","1,172793","70.686.792,00","4.382","82.900.946,67"
"01.07.2021","IUU","İŞ PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON","10,096197","2.600.000,00","5","26.250.111,78"
"01.07.2021","IYB","AURA PORTFÖY DEĞİŞKEN FONU","0,797599","19.654.626,00","72","15.676.510,89"
