,FİYAT,g_degisim,FON ADI
count,1248.0,1248.0,AAK
mean,26.340197799679515,-0.0065763031793646485,AAK
std,8.184505609303296,0.2570228602674602,AAK
min,4.1287910000000005,-9.078132557448416,AAK
25%,20.84307475,-0.0008004976104039653,AAK
50%,25.271664,0.000821999430627042,AAK
75%,32.495258,0.002476040807969656,AAK
max,42.274275,0.018860165833280103,AAK
count,1250.0,1250.0,AAL
mean,0.47076659039999985,0.0005077701472810996,AAL
std,0.09569826123391578,0.0003461617705256577,AAL
min,0.342933,3.4009690145668105e-05,AAL
25%,0.3827275,0.0002757467545276182,AAL
50%,0.4446635,0.0003842651588988441,AAL
75%,0.56931775,0.000625655964706856,AAL
max,0.6469229999999999,0.002784238898328425,AAL
count,1248.0,1248.0,AAV
mean,0.23618270673076922,0.0017509709701858782,AAV
std,0.9593899821574734,0.03093485025238245,AAV
min,0.013663,-0.09424768243403847,AAV
25%,0.02013675,-0.005542043355698998,AAV
50%,0.022537,0.0017679388713597608,AAV
75%,0.02644725,0.008555857279625271,AAV
max,4.93853,0.9896629985528824,AAV
count,1108.0,1108.0,ACC
mean,1.549256948555957,-inf,ACC
std,0.5363728038323337,,ACC
min,0.0,-inf,ACC
25%,1.13692375,-0.0028219964801006934,ACC
50%,1.2742395,0.0010923592246901406,ACC
75%,1.9848584999999999,0.005507578204759956,ACC
max,2.82788,1.0,ACC
count,1250.0,1250.0,ACD
mean,0.24675058160000035,0.0006622912596869457,ACD
std,0.053291482026010153,0.008162015037154328,ACD
min,0.17817,-0.05731617946421305,ACD
25%,0.2144815,-0.002626937954933462,ACD
50%,0.2324645,0.000910108657456083,ACD
75%,0.26431899999999997,0.005020929347273282,ACD
max,0.433702,0.03862290820992507,ACD
count,1250.0,1250.0,ACK
mean,0.03400735280000002,0.0006355266129128491,ACK
std,0.00859208100787981,0.010197969568601592,ACK
min,0.024107,-0.07479816591183984,ACK
25%,0.0281705,-0.003385872990046754,ACK
50%,0.030182,0.0009728803723335702,ACK
