,FİYAT,g_degisim,FON ADI
75%,0.03775975,0.005923682969769664,ACK
max,0.061492,0.04978419609652802,ACK
count,1250.0,1250.0,ADE
mean,0.14145384960000015,0.00046704449635303415,ADE
std,0.026593192163245922,0.0007582307795436734,ADE
min,0.106187,-0.004919050970974265,ADE
25%,0.11618049999999999,0.00020101598151443985,ADE
50%,0.13307950000000002,0.0004035188366113576,ADE
75%,0.16934075,0.0007132313274052983,ADE
max,0.190068,0.007194126033177025,ADE
count,1250.0,1250.0,ADP
mean,0.09743355919999998,-5.237268220399102e-05,ADP
std,0.014364830826342193,0.019656790298178052,ADP
min,0.067231,-0.11089855318907736,ADP
25%,0.08676125000000001,-0.009961005370517962,ADP
50%,0.09461,-0.00026136805055066695,ADP
75%,0.10826649999999999,0.011181402464231646,ADP
max,0.130655,0.08163653472681051,ADP
count,1248.0,1248.0,AED
mean,0.49706943910256424,-0.00021124170693199705,AED
std,2.1701797903618756,0.05606445026825885,AED
min,0.0054020000000000006,-1.6580692704495208,AED
25%,0.00766775,0.00016456692943166834,AED
50%,0.0182725,0.000372684092851168,AED
75%,0.01973325,0.0012456209651221903,AED
max,10.646702,0.9989877558489983,AED
count,1250.0,1250.0,AES
mean,0.011905766399999981,-inf,AES
std,0.0029514982022595553,,AES
min,0.0,-inf,AES
25%,0.0094345,-0.007522106904678819,AES
50%,0.011419499999999999,0.0006585907104715864,AES
75%,0.014384250000000001,0.00923669604633205,AES
max,0.020234,1.0,AES
count,1250.0,1250.0,AFA
mean,0.05441772720000002,0.0010576439434274094,AFA
std,0.02303114139844728,0.015556930752665668,AFA
min,0.023528,-0.12108664734369085,AFA
25%,0.0346335,-0.00547416667185509,AFA
50%,0.0535105,0.0014357454947316653,AFA
75%,0.06737499999999999,0.007600343956303228,AFA
max,0.109623,0.12830154310546732,AFA
count,1250.0,1250.0,AFO
mean,0.054207919999999965,0.0008177172916322394,AFO
std,0.023434388840818405,0.011823532763691726,AFO
min,0.027405,-0.07580436656133276,AFO
25%,0.03514875,-0.005087623541683139,AFO
50%,0.049103,0.0009377503533027449,AFO
75%,0.06381925,0.006310250478700655,AFO
max,0.118271,0.13079289940828398,AFO
count,1250.0,1250.0,AFS
mean,0.02328562640000002,0.001052436621031683,AFS
std,0.008369672219033808,0.014477249931027078,AFS
min,0.010309,-0.09256799272879833,AFS
25%,0.01658875,-0.005676740283661125,AFS
50%,0.023667,0.0012355151086652092,AFS
75%,0.027504249999999997,0.008227270658307681,AFS
max,0.046375,0.12197872534975154,AFS
count,1250.0,1250.0,AFT
mean,0.034335126400000034,0.0014880972371007942,AFT
std,0.020100310151362547,0.01658195942565408,AFT
min,0.011484,-0.11766114229469812,AFT
25%,0.018671,-0.005749109696322244,AFT
50%,0.030434000000000003,0.0018009496273513259,AFT
75%,0.040252500000000004,0.009767185736178552,AFT
max,0.089003,0.13578826237054076,AFT
count,1250.0,1250.0,AFV
mean,0.03567890959999998,0.0007926267644309809,AFV
std,0.011085867397104512,0.013502618135814645,AFV
min,0.017469,-0.1114559981606026,AFV
25%,0.026583000000000002,-0.00520082357576606,AFV
50%,0.035754,0.0013537221552737343,AFV
75%,0.0428925,0.007346581170636071,AFV
max,0.059693,0.13033034187212938,AFV
count,1250.0,1250.0,AHI
mean,1.2362486351999997,0.0006139834020612939,AHI
std,0.27157113173143205,0.012706112013251107,AHI
min,0.878657,-0.08949685767293362,AHI
25%,1.0552892500000002,-0.005338387645990952,AHI
50%,1.1777704999999998,0.001345247396606103,AHI
75%,1.30940525,0.007612021038872017,AHI
max,2.244726,0.06630798262775947,AHI
count,1250.0,1250.0,AIS
mean,0.0159877928,0.00044271794520940773,AIS
std,0.003014158891785251,0.0010846223410348414,AIS
min,0.01211,-0.020115086314736037,AIS
25%,0.013272750000000002,0.00010050139412350916,AIS
50%,0.014869,0.0003679739101407647,AIS
75%,0.01952025,0.0007435513819853073,AIS
max,0.02106,0.00731347289318302,AIS
count,1250.0,1250.0,AKE
mean,0.039599104799999986,0.0007745276826641297,AKE
std,0.012840590512838259,0.007713102536060742,AKE
min,0.022803,-0.05295452201711889,AKE
25%,0.029123500000000004,-0.0027951760508817696,AKE
50%,0.037632,0.0006425091861252,AKE
75%,0.04775675,0.004075040807882177,AKE
max,0.069,0.0664019100300215,AKE
count,1250.0,1250.0,AKU
mean,0.06398451680000009,0.0004303716123576546,AKU
std,0.010171382078027529,0.012987907600312943,AKU
min,0.044839,-0.07869148260767866,AKU
25%,0.05882925,-0.006162797789875469,AKU
50%,0.06499350000000001,0.000633635425920451,AKU
75%,0.06983199999999999,0.007996670965706349,AKU
max,0.092822,0.050237767799446484,AKU
count,1250.0,1250.0,AK2
mean,1.5218505415999992,-0.07869551524030251,AK2
std,4.424237491617994,2.7942146811700055,AK2
min,0.13816099999999998,-98.78986936010644,AK2
25%,0.1697865,-0.0016618849959943603,AK2
50%,0.17809049999999998,0.00025735842106740323,AK2
75%,0.2286265,0.002503147903778183,AK2
max,16.765519,0.04385849725556105,AK2
count,1250.0,1250.0,AK3
mean,1.9966749543999986,0.0006158308186850193,AK3
std,0.4158937378466555,0.01244313100577469,AK3
min,1.299276,-0.08245326817853912,AK3
25%,1.78057725,-0.005513131685288858,AK3
50%,1.9866039999999998,0.0012104410461867502,AK3
75%,2.20863225,0.007565523961294264,AK3
max,3.262025,0.05645964252818314,AK3
count,1250.0,1250.0,ALC
mean,0.018610143999999974,0.0006096106688272067,ALC
std,0.003469431607368353,0.013284366039583325,ALC
min,0.012944,-0.07529921212485714,ALC
25%,0.016522500000000002,-0.006366356394188164,ALC
50%,0.018533,0.0012887542896453273,ALC
75%,0.020160749999999998,0.007867812106067316,ALC
max,0.031529,0.05583422906962847,ALC
count,1250.0,1250.0,ALE
mean,0.7802731656000004,0.0013205192181511745,ALE
std,1.0497859790577626,0.02798961881221682,ALE
min,0.012529,-6.056834171789091e-05,ALE
25%,0.01411725,0.00028537558470535,ALE
50%,0.0166355,0.0003607216823961481,ALE
75%,2.14691,0.0006338379170730767,ALE
max,2.427312,0.9900064150583344,ALE
count,1250.0,1250.0,ANL
mean,4.684450468800004,0.0005337382642196705,ANL
std,1.0021464763741457,0.0004074284743158047,ANL
min,3.338808,-0.0005763531323837673,ANL
25%,3.7542385,0.0002759963814730626,ANL
50%,4.417084,0.0003638681855197678,ANL
75%,5.712887,0.0006352714678584635,ANL
max,6.5065940000000015,0.0038389845804260117,ANL
count,1250.0,1250.0,AN1
mean,5.949082872799994,-inf,AN1
std,1.2852930923413808,,AN1
min,0.0,-inf,AN1
25%,4.7215237499999985,-0.0011696353314662729,AN1
50%,5.678653000000001,0.0004649859229448462,AN1
75%,6.991232999999999,0.0026223421067996006,AN1
max,9.374016,1.0,AN1
count,1250.0,1250.0,AOY
mean,0.06411210479999992,0.000933349957374374,AOY
std,0.023548862487546684,0.013589505449352368,AOY
min,0.028895,-0.09382913092187058,AOY
25%,0.044549500000000006,-0.0045801269752162,AOY
50%,0.0641805,0.0013037889393338396,AOY
75%,0.0781135,0.006891984497666823,AOY
max,0.120574,0.1258116007679199,AOY
count,1250.0,1250.0,APT
mean,0.037456800799999926,0.0005065285292300573,APT
std,0.00793234220099929,0.0019253240751165978,APT
min,0.027285000000000004,-0.010427473199797926,APT
25%,0.030726,-0.00013904011188157036,APT
50%,0.0336205,0.00039563794132491754,APT
75%,0.046295249999999996,0.0010120595782385521,APT
max,0.051445000000000005,0.0221621953465529,APT
count,1250.0,1250.0,ARE
mean,0.03006526559999999,-inf,ARE
std,0.00847573063430433,,ARE
min,0.0,-inf,ARE
25%,0.023030250000000002,-0.0035643230644390924,ARE
50%,0.0300935,0.0006050702012570493,ARE
75%,0.036573,0.0047033364899071554,ARE
max,0.048205,1.0,ARE
count,1250.0,1250.0,ARL
mean,1.5031744896000006,0.0006561337384243068,ARL
std,0.3602001377069213,0.0023194587218258456,ARL
min,1.027594,-0.014546681889776997,ARL
25%,1.1988759999999998,-0.0004567125986798413,ARL
50%,1.4586925,0.000647121365945108,ARL
75%,1.7899475,0.0017619397900396389,ARL
max,2.333573,0.02047443545916713,ARL
count,1250.0,1250.0,ARM
mean,1.526591779999999,0.0007083119495374986,ARM
std,0.38655359873823036,0.002925759954389062,ARM
min,1.026371,-0.021401109753392596,ARM
25%,1.2052562500000001,-0.0005940037047448697,ARM
50%,1.4745940000000002,0.0006337489436782169,ARM
75%,1.8023444999999998,0.002080798141498371,ARM
max,2.492022,0.019012369069207214,ARM
count,1248.0,1248.0,AUT
mean,0.13102722435897443,0.001297016095465886,AUT
std,0.5086573801545728,0.028013332839733007,AUT
min,0.013057,-0.001531038322353242,AUT
25%,0.014692750000000001,0.00026719216689728795,AUT
50%,0.017063000000000002,0.0003739669373714784,AUT
75%,0.02196425,0.0006587739971815067,AUT
max,2.451645,0.990003086244796,AUT
count,1250.0,1250.0,AVT
mean,32.673941352799986,0.00048537601259675175,AVT
std,6.387396649230781,0.00040702777127464665,AVT
min,24.048739,-0.0013060522502147199,AVT
25%,26.7432505,0.00024268636353953603,AVT
50%,30.827403500000003,0.00032597567574127077,AVT
75%,39.406863,0.0006219451626182992,AVT
max,44.114621,0.0027353937791456226,AVT
count,1248.0,1248.0,AYA
mean,0.24322092067307674,0.0016108936480217185,AYA
std,0.5027581035192028,0.02855126878847895,AYA
min,0.081188,-0.0941589395555115,AYA
25%,0.11591975,-0.005308904181333294,AYA
50%,0.12956499999999999,0.0016607722209429792,AYA
75%,0.14908725,0.00848804218323153,AYA
max,2.685242,0.8972781847426577,AYA
count,1250.0,1250.0,AYR
mean,0.018408225600000022,0.000526507598663197,AYR
std,0.003858071990812725,0.0005073512107568362,AYR
min,0.013147999999999998,-0.003433476394849898,AYR
25%,0.01489325,0.00027973006972772046,AYR
50%,0.017381,0.000370393246853974,AYR
75%,0.022383999999999998,0.0006439096998383067,AYR
max,0.025392,0.0035506933448491507,AYR
count,1250.0,1250.0,DAH
mean,0.18995003439999972,0.0005808763347464414,DAH
std,0.03640026252176955,0.012883745078649351,DAH
min,0.12847999999999998,-0.07703745743473328,DAH
25%,0.16608375,-0.005687437516982674,DAH
50%,0.188477,0.001183183157487434,DAH
75%,0.21077125,0.007951668740069714,DAH
max,0.312098,0.052966738798445684,DAH
count,1250.0,1250.0,DBA
mean,0.02959379359999997,0.0008027811213945736,DBA
std,0.012612466728431023,0.01167757673371318,DBA
min,0.015166999999999996,-0.07278155581356781,DBA
25%,0.019304750000000002,-0.004890647710234481,DBA
50%,0.0268475,0.0008866732127680321,DBA
75%,0.0349275,0.006167144284070711,DBA
max,0.064202,0.13047666306663938,DBA
count,1250.0,1250.0,DBB
mean,0.021336776,0.00034392314539982694,DBB
std,0.0031358352729873194,0.003359222798136068,DBB
min,0.017419,-0.06952380952380947,DBB
25%,0.018868,-0.0004720830438312258,DBB
50%,0.019867000000000003,0.0003321025853679678,DBB
75%,0.025084250000000002,0.0012315448517640256,DBB
max,0.026908,0.023486970871550886,DBB
count,1250.0,1250.0,DBH
mean,0.02308082080000001,0.0008155088612835178,DBH
std,0.00766055887026862,0.008491877112361814,DBH
min,0.012869,-0.05754721192910391,DBH
25%,0.01713475,-0.002956676513994864,DBH
50%,0.021272,0.0006324138163435866,DBH
75%,0.028041250000000004,0.004522308249295446,DBH
max,0.041346,0.05776498110491274,DBH
count,1250.0,1250.0,DBK
mean,0.01707742880000001,0.00047936033175155577,DBK
std,0.0032807378290703195,0.00037921108428310985,DBK
min,0.01258,-0.0018315018315019586,DBK
25%,0.014017,0.00026528414385969896,DBK
50%,0.016265,0.0003433005236920945,DBK
75%,0.020450500000000003,0.0005778969514579763,DBK
max,0.022902,0.002745018300121925,DBK
count,1250.0,1250.0,DBP
mean,0.03217640959999996,0.0005426870063162701,DBP
std,0.00657928035409726,0.0014369371238476887,DBP
min,0.022652,-0.014172819352205837,DBP
25%,0.0265605,0.0,DBP
50%,0.030436500000000005,0.0004790538871146363,DBP
75%,0.03863825,0.0010380611726488731,DBP
max,0.044734,0.013874658469945308,DBP
count,1250.0,1250.0,DBZ
mean,0.01909010320000002,0.0004951603325642836,DBZ
std,0.003664793072242914,0.0008522574764253404,DBZ
min,0.013874,-0.016322492889823192,DBZ
25%,0.015892249999999997,0.0002789310807182115,DBZ
50%,0.01808,0.00036839198155387933,DBZ
75%,0.022812,0.0006645421362488095,DBZ
max,0.02577,0.004186346071275316,DBZ
count,1250.0,1250.0,DLY
mean,0.7816920552,0.000515985867602512,DLY
std,0.16104663682096693,0.0003934989109704379,DLY
min,0.56428,7.444405182104765e-05,DLY
25%,0.6324624999999999,0.00026484908996359045,DLY
50%,0.7386870000000001,0.00034212219189730993,DLY
75%,0.9473017499999999,0.000621711610680303,DLY
max,1.075481,0.003333753099158268,DLY
count,1166.0,1166.0,DPK
mean,1.2898054065180107,0.0013052500802560325,DPK
std,0.2286209705286807,0.029276126139031904,DPK
min,0.998029,-0.004434417441563628,DPK
25%,1.0748095000000002,0.00024255352849403077,DPK
50%,1.227455,0.00032438348608458364,DPK
75%,1.5262487500000002,0.0005688317812382623,DPK
max,1.6856830000000005,1.0,DPK
count,1180.0,1180.0,DSP
mean,1.31955289661017,0.001350673817147629,DSP
std,0.23783920615819165,0.029260834430228037,DSP
min,0.990419,-0.02426549323641786,DSP
25%,1.129543,-0.0007733571389890617,DSP
50%,1.2671435,0.0004471993512833504,DSP
75%,1.49418975,0.0018100520127674819,DSP
max,1.829107,1.0,DSP
count,1250.0,1250.0,DZE
mean,0.06521651760000001,0.0005077446391597711,DZE
std,0.01065059701210508,0.012250452774264252,DZE
min,0.045579,-0.07127997736615256,DZE
25%,0.060193750000000004,-0.005702921077999366,DZE
50%,0.06623899999999999,0.0009317782671890314,DZE
75%,0.07103975000000001,0.0077202151967026645,DZE
max,0.09781,0.044860987140070765,DZE
count,1250.0,1250.0,DZT
mean,0.6414484103999998,0.00038235772417641176,DZT
std,0.11229057038008047,0.0055759736351473155,DZT
min,0.49768,-0.034304673749056866,DZT
25%,0.5566182500000001,-0.0018863293136414838,DZT
50%,0.5794045,0.0003091718392346129,DZT
75%,0.7708122500000001,0.002241562308273412,DZT
max,0.8537600000000001,0.0471978457384363,DZT
count,1250.0,1250.0,EBD
mean,0.01835086720000001,0.0005297395044055426,EBD
std,0.0034765877187980417,0.003838372725211299,EBD
min,0.014175,-0.02412470023980815,EBD
25%,0.015467749999999999,-0.001293916575621776,EBD
50%,0.017140000000000002,0.0006315796471796874,EBD
75%,0.021000500000000002,0.00273834221655116,EBD
max,0.027792,0.01699467695463225,EBD
count,1250.0,1250.0,ECA
mean,0.09586018639999995,-inf,ECA
std,0.02195745890192213,,ECA
min,0.0,-inf,ECA
25%,0.07945949999999999,-0.0018630937039100365,ECA
50%,0.08847649999999999,0.0008780487528768841,ECA
75%,0.10847275,0.003852847624205503,ECA
max,0.15748199999999998,1.0,ECA
count,1250.0,1250.0,ECB
mean,7.258972555999999,0.0005158219992037514,ECB
std,1.5220803336797002,0.00040294188425129087,ECB
min,5.260661,-7.497257298329277e-05,ECB
25%,5.82966425,0.0002610967736121706,ECB
50%,6.8482970000000005,0.0003459818131921459,ECB
75%,8.83000775,0.0006145090931605568,ECB
max,10.02463,0.00349164734449458,ECB
count,1250.0,1250.0,ECT
mean,0.03471460640000006,0.0004565668831773851,ECT
std,0.006551286983883029,0.0006648970443039485,ECT
min,0.026147000000000004,-0.00520564129070351,ECT
25%,0.02850275,0.00017089577979100708,ECT
50%,0.0325555,0.00036078941144966734,ECT
75%,0.041778249999999996,0.0007127867180648247,ECT
max,0.046267,0.0046462698343122475,ECT
count,1250.0,1250.0,ECV
mean,0.07248983759999991,0.0004707856460190812,ECV
std,0.014004255882862615,0.0004260681273137729,ECV
min,0.054054,-0.0014775835029098414,ECV
25%,0.05924225,0.0002544659027195836,ECV
50%,0.0688075,0.00035035111008474513,ECV
75%,0.08718000000000001,0.0005957511809109681,ECV
max,0.097357,0.003183555988428473,ECV
count,1250.0,1250.0,EC2
mean,4.3366341175999965,-inf,EC2
std,0.8196503792438171,,EC2
min,0.0,-inf,EC2
25%,3.84367825,-0.00541038364349642,EC2
50%,4.288408,0.0010632443994015531,EC2
75%,4.718051749999999,0.007525469113110436,EC2
max,6.932534,1.0,EC2
count,1250.0,1250.0,EIB
mean,0.04659734560000004,0.0006723213268037652,EIB
std,0.013279474387873014,0.00404821533572163,EIB
min,0.032168,-0.12102786604742115,EIB
25%,0.0357215,-8.928870742503503e-05,EIB
50%,0.040501,0.0006004643739079282,EIB
75%,0.05707950000000001,0.0015589409428808914,EIB
max,0.075565,0.0348737282732238,EIB
count,1250.0,1250.0,EIC
mean,0.014893075200000012,0.0006718199480533012,EIC
std,0.004053698972374719,0.003049766054477429,EIC
min,0.009783,-0.033382213404640586,EIC
25%,0.011723250000000001,-8.46980216043349e-05,EIC
50%,0.013261499999999999,0.0004425396228134148,EIC
75%,0.018222500000000003,0.0012606209400229946,EIC
max,0.023464,0.07196562835660572,EIC
count,1250.0,1250.0,EID
mean,0.05758742480000001,0.0009350827839952796,EID
std,0.024091445571458,0.012270107708675038,EID
min,0.032902999999999995,-0.08537649288529227,EID
25%,0.04211325,-0.004906042309771388,EID
50%,0.047564499999999996,0.001658927197409431,EID
75%,0.066674,0.007784076955005435,EID
max,0.134279,0.05073394627830787,EID
count,1250.0,1250.0,EIL
mean,0.6642325879999987,0.0005108917340159259,EIL
std,0.1361218184565596,0.000394541487090679,EIL
min,0.482914,-0.0006085339501385714,EIL
25%,0.537532,0.0002688891517604704,EIL
50%,0.627286,0.0003529932187457145,EIL
75%,0.8035085,0.0006051047342219291,EIL
max,0.91455,0.0029044637499334963,EIL
count,1250.0,1250.0,EKF
mean,0.014204396799999993,0.0005192378953915295,EKF
std,0.0029579006925445146,0.0005271577342732941,EKF
min,0.010251,-0.0046343624344033505,EKF
25%,0.011469,0.00026860667151853783,EKF
50%,0.013419999999999998,0.00038433821851845926,EKF
75%,0.01714525,0.0006588856666415197,EKF
max,0.019607,0.006432084752175646,EKF
count,1250.0,1250.0,FIB
mean,0.020114143999999997,0.0008162616110694021,FIB
std,0.008689741875657553,0.01141081526690938,FIB
min,0.010349,-0.06962589073634214,FIB
25%,0.013081,-0.004866509345635176,FIB
50%,0.018085,0.000865638204086595,FIB
75%,0.0236255,0.0060427300631394525,FIB
max,0.044112,0.12393106170240753,FIB
count,1250.0,1250.0,FID
mean,0.06926997680000006,0.0007546197571449821,FID
std,0.01993512000690273,0.006063127255725747,FID
min,0.04734,-0.049631079290602585,FID
25%,0.05535125,-0.0013761543744145312,FID
50%,0.0616485,0.0008352124591186891,FID
75%,0.07827800000000001,0.0032576402852165036,FID
max,0.128082,0.034090311036261194,FID
count,1250.0,1250.0,FIL
mean,0.04519083200000002,0.0005433719650983971,FIL
std,0.009783624234152709,0.0004100567559516107,FIL
min,0.032039,0.00011506486781934817,FIL
25%,0.036143749999999995,0.00028314183888297707,FIL
50%,0.042508000000000004,0.00036382881405107537,FIL
75%,0.05515125,0.0006406397299046867,FIL
max,0.063192,0.003788681021296657,FIL
count,1250.0,1250.0,FIT
mean,0.05426373440000002,0.000534038613494306,FIT
std,0.01152448943273431,0.0005861538529328129,FIT
min,0.038673,-0.0016813704157929105,FIT
25%,0.04386425,0.00025471006596830824,FIT
50%,0.050797,0.00040339932582790326,FIT
75%,0.06608625,0.0007664887810201131,FIT
max,0.075374,0.00423666432205207,FIT
count,1250.0,1250.0,FI3
mean,138.53120159039995,0.0003981999219407758,FI3
std,22.971101894464983,0.002595899692874304,FI3
min,109.057677,-0.013175110720932038,FI3
25%,120.50031775,-0.000716105149529643,FI3
50%,126.646457,0.00031845028136659226,FI3
75%,163.72993175,0.0014416390545670395,FI3
max,179.813362,0.028292726565594808,FI3
count,1250.0,1250.0,FI5
mean,95.35119071439998,0.000522935107695841,FI5
std,20.036112249481246,0.00039937224047070004,FI5
min,68.346715,-4.399641883680816e-06,FI5
25%,76.715744,0.0002703914992148711,FI5
50%,90.044393,0.0003473062207193043,FI5
75%,116.10032149999999,0.0006294613389542386,FI5
max,131.401772,0.003339166160799795,FI5
count,1250.0,1250.0,FNO
mean,0.017192707999999994,0.0006078778151624545,FNO
std,0.004130876407961665,0.003714833249803915,FNO
min,0.011925,-0.03940161857271328,FNO
25%,0.013763500000000001,-0.0013937642620348587,FNO
50%,0.016105500000000002,0.00073443192299514,FNO
75%,0.02020425,0.002641846819115861,FNO
max,0.025936,0.013275968039336115,FNO
count,1179.0,1179.0,FPE
mean,5.128752031382528,0.0017041575125996877,FPE
std,1.7013030334327566,0.030163627180369034,FPE
min,2.88692,-0.05618537022924006,FPE
25%,3.6335915,-0.002728164601313745,FPE
50%,4.94022,0.0007454252657738128,FPE
75%,6.196595,0.0040200251570064235,FPE
max,9.057732,1.0,FPE
count,1247.0,1247.0,FPH
mean,1.3710755797915,0.0016258861003239466,FPH
std,0.5289100107483549,0.031379446186206,FPH
min,0.797728,-0.09914871209794199,FPH
25%,1.044125,-0.00526455421727847,FPH
50%,1.211812,0.0018991813841783534,FPH
75%,1.479325,0.00841665316548321,FPH
max,3.185282,1.0,FPH
count,1250.0,1250.0,FPK
mean,0.014177941600000002,0.0005033981506866757,FPK
std,0.002853906645127118,0.00040222051146781846,FPK
min,0.01031,-0.0011357183418511745,FPK
25%,0.011554749999999999,0.00027066898347335734,FPK
50%,0.013394,0.00035578758136749786,FPK
75%,0.017124749999999998,0.000636836456789762,FPK
max,0.019343,0.004187761735108511,FPK
count,1250.0,1250.0,FUB
mean,0.05348870079999998,0.0008011094709058121,FUB
std,0.018163317246571428,0.00777019326171196,FUB
min,0.029868,-0.05356464480182358,FUB
25%,0.038025750000000004,-0.0027273601657046877,FUB
50%,0.0521505,0.000553189413960503,FUB
75%,0.0661155,0.004162881879820376,FUB
max,0.093736,0.08035565063341922,FUB
count,1250.0,1250.0,FYD
mean,0.43415513999999983,0.0008176118259928464,FYD
std,0.11703396169349199,0.012523717786869816,FYD
min,0.25378,-0.08098653395784537,FYD
25%,0.35826225,-0.005985803162633377,FYD
50%,0.4301495000000001,0.001743735846971659,FYD
75%,0.48717225000000003,0.0082472702959758,FYD
max,0.8086260000000001,0.048711101178836834,FYD
count,1250.0,1250.0,FYO
mean,0.16336122240000003,0.0004931477110888552,FYO
std,0.03294338513472235,0.0014648829852967507,FYO
min,0.118537,-0.04171817497193697,FYO
25%,0.13514325,0.0002698184529127788,FYO
50%,0.151887,0.000369519226296393,FYO
75%,0.19856925,0.0006663427387018331,FYO
max,0.219816,0.012339397803060112,FYO
count,1250.0,1250.0,FYT
mean,0.0584685576,0.00046790242135542464,FYT
std,0.011024079793747924,0.000428637026239333,FYT
min,0.043187,-0.002232322096776788,FYT
25%,0.048232500000000005,0.00023905129091076363,FYT
50%,0.055784,0.00033197644197003923,FYT
75%,0.07012875,0.0006399726521021309,FYT
max,0.077507,0.0027398198568444197,FYT
count,1250.0,1250.0,GAE
mean,0.03201126959999997,0.0004049549602730929,GAE
std,0.004773664109606053,0.013213320667709428,GAE
min,0.022707,-0.08187776672042811,GAE
25%,0.02954275,-0.006472201931708744,GAE
50%,0.032579000000000004,0.0006199815525113608,GAE
75%,0.03475475,0.008085952506150039,GAE
max,0.045442,0.053376795354996336,GAE
count,1250.0,1250.0,GAF
mean,0.0711518383999999,0.0005360235296161086,GAF
std,0.014704823546166906,0.013406664270408269,GAF
min,0.050767,-0.0917424366434025,GAF
25%,0.060284000000000004,-0.005218079426101804,GAF
50%,0.06827550000000002,0.0013973055722243505,GAF
75%,0.07721850000000001,0.007951842534826344,GAF
max,0.118759,0.0668435493110623,GAF
count,1250.0,1250.0,GAK
mean,0.7855152015999991,0.0005816792451056593,GAK
std,0.1764772914518428,0.004653038010963753,GAK
min,0.56747,-0.03170879938815363,GAK
25%,0.65330625,-0.0012808245387458444,GAK
50%,0.6990975,0.0007666834796828828,GAK
75%,0.94528925,0.002782384451994412,GAK
max,1.195645,0.02730473345328458,GAK
count,1250.0,1250.0,GAL
mean,53.576873016799986,0.0005138679539278788,GAL
std,11.037420540963225,0.00039049324111690254,GAL
min,38.713437,1.2142488049844033e-05,GAL
25%,43.30643499999999,0.0002685609814423671,GAL
50%,50.68634,0.000347384184877114,GAL
75%,64.99128675,0.0006201505432455398,GAL
max,73.590274,0.00311242202788258,GAL
count,1250.0,1250.0,GA1
mean,303.3554774528001,0.00044661035106663345,GA1
std,54.94105400708558,0.0017810181314219461,GA1
min,232.557945,-0.009702470582873624,GA1
25%,256.16069925,-8.05280334191217e-05,GA1
50%,273.246048,0.00040984012340255333,GA1
75%,358.35907025,0.0008732106348788706,GA1
max,407.034305,0.028808286345928687,GA1
count,1250.0,1250.0,GBC
mean,0.022317352799999985,0.0009825082272847741,GBC
std,0.009971973185468434,0.012128337748486491,GBC
min,0.010463,-0.08694359497111792,GBC
25%,0.0144085,-0.004308105551337856,GBC
50%,0.020195499999999998,0.0005247324699655561,GBC
75%,0.026272000000000004,0.006464173405552094,GBC
max,0.048913,0.12132515881223226,GBC
count,1250.0,1250.0,GBG
mean,0.03078032159999999,0.0009913655381644012,GBG
std,0.010797017158761711,0.011860501249850419,GBG
min,0.013436000000000002,-0.08317959412849933,GBG
25%,0.0217465,-0.004538145341600415,GBG
50%,0.0317895,0.0011626283766612419,GBG
75%,0.037908,0.007032092587641361,GBG
max,0.055335,0.11805375914211155,GBG
count,1250.0,1250.0,GBL
mean,0.10520108799999985,0.0005376758270856,GBL
std,0.022273456493512426,0.0004901776844611815,GBL
min,0.074802,-0.003677908242530434,GBL
25%,0.08489649999999999,0.0002786293207286777,GBL
50%,0.098898,0.00035849514351880417,GBL
75%,0.12766125,0.0006629939847911519,GBL
max,0.146483,0.004222519401476286,GBL
