"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"10.03.2021","RBK","ALBARAKA PORTFÖY KATILIM FONU","1,333492","3.094.427,00","262","4.126.394,20"
"10.03.2021","RBT","ALBARAKA PORTFÖY KİRA SERTİFİKALARI  KATILIM FONU","1,352756","3.460.673,00","155","4.681.446,83"
"10.03.2021","RBV","ALBARAKA PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU","1,383319","27.284.264,00","211","37.742.838,65"
"10.03.2021","SBS","STRATEJİ PORTFÖY BAŞAK SERBEST (DÖVİZ) ÖZEL FON","8,131527","3.219.746,00","0","26.181.452,27"
"10.03.2021","SKT","FİBA PORTFÖY ŞEKERBANK KISA VADELİ BORÇLANMA ARAÇLARI FONU","0,023053","1.006.698.413,00","3.204","23.207.131,04"
"10.03.2021","SLF","FİBA PORTFÖY ŞEKERBANK PARA PİYASASI FONU","1,976233","70.106.443,00","7.330","138.546.648,31"
"10.03.2021","SPA","AZIMUT PORTFÖY 6.0 SERBEST (DÖVIZ) FON","7,579652","45.975.137,00","0","348.475.540,54"
"10.03.2021","SPD","AZIMUT PORTFÖY BEG SERBEST (DÖVIZ) ÖZEL FON","8,883947","7.799.853,00","0","69.293.483,57"
"10.03.2021","SPE","AZIMUT PORTFÖY 5.0 SERBEST (DÖVIZ) FON","10,252131","13.636.013,00","0","139.798.186,60"
"10.03.2021","SPG","AZİMUT PORTFÖY BEG SERBEST ÖZEL FON","1,471238","8.240.712,00","0","12.124.047,64"
"10.03.2021","SPN","AZIMUT PORTFÖY PİYASA NÖTR SERBEST FON","1,447640","259.920.203,00","0","376.270.803,01"
"10.03.2021","SRO","AZİMUT PORTFÖY SKY SERBEST ÖZEL FON","2,326378","296.676.472,00","0","690.181.472,25"
"10.03.2021","SRY","AZİMUT PORTFÖY SKY SERBEST (DÖVİZ) ÖZEL FON","13,163760","20.000,00","0","263.275,19"
"10.03.2021","SSO","AK PORTFÖY AK SANDIK SERBEST ÖZEL FON","1,903778","434.698.945,00","1","827.570.265,39"
"10.03.2021","STS","STRATEJİ PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","9,708237","5.602.564,00","0","54.391.017,29"
"10.03.2021","STZ","STRATEJİ PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","1,176636","9.344.877,00","0","10.995.521,68"
"10.03.2021","ST1","STRATEJİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","20,392335","4.934.869,44","0","100.633.510,68"
"10.03.2021","SUA","ÜNLÜ PORTFÖY BİRİNCİ DEĞİŞKEN FON","0,073879","5.250.723.868,10","1.304","387.918.845,85"
"10.03.2021","SUB","ÜNLÜ PORTFÖY İKİNCİ DEĞİŞKEN FON","0,040781","214.058.757,00","258","8.729.531,65"
"10.03.2021","SUC","ÜNLÜ PORTFÖY ÜÇÜNCÜ DEĞIŞKEN FON","2,564443","44.390.314,00","926","113.836.438,96"
"10.03.2021","TAO","TEB PORTFÖY ALARKO GRUBU DEĞİŞKEN ÖZEL FON","2,809827","40.000.000,00","1","112.393.077,68"
"10.03.2021","TAU","İŞ PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,049023","1.202.170.599,00","1.773","58.934.076,12"
"10.03.2021","TBP","İŞ PORTFÖY PRIVIA BANKACILIK DEĞİŞKEN ÖZEL FON","0,041975","1.251.169.377,00","142","52.518.021,18"
"10.03.2021","TBT","TEB PORTFÖY BORÇLANMA ARAÇLARI FONU","22,021724","834.685,52","1.090","18.381.213,85"
"10.03.2021","TBV","İŞ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","0,075825","1.269.212.844,00","999","96.238.344,57"
"10.03.2021","TCA","ZİRAAT PORTFÖY ALTIN KATILIM FONU","0,055077","8.198.593.233,16","5.656","451.551.066,52"
"10.03.2021","TCB","TACİRLER PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","0,045930","364.023.633,00","599","16.719.564,13"
"10.03.2021","TCC","TACİRLER PORTFÖY SERBEST ( DÖVİZ ) FON","0,010738","4.168.225.368,00","14","44.759.306,56"
"10.03.2021","TCD","TACİRLER PORTFÖY DEĞIŞKEN FON","5,097858","217.673.371,00","62","1.109.668.002,92"
"10.03.2021","TCI","TACİRLER PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON","1,406815","387.573.526,00","35","545.244.202,98"
"10.03.2021","TCS","TACİRLER PORTFÖY SİRİUS SERBEST FON","2,774311","36.172.794,00","3","100.354.572,93"
"10.03.2021","TDB","TEB PORTFÖY BOĞAZİÇİ SERBEST (DÖVİZ) FON","0,056677","424.092.831,00","11","24.036.127,59"
"10.03.2021","TDG","İŞ PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU","0,083740","1.142.472.338,00","1.912","95.670.642,32"
"10.03.2021","TDP","TEB PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON","7,866692","50.398.957,00","0","396.473.051,17"
"10.03.2021","TE3","TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON","5,848157","96.605.167,00","2.049","564.962.195,51"
"10.03.2021","TE4","TEB PORTFÖY BİRİNCİ DEĞİŞKEN FON","1,010268","120.995.831,00","186","122.238.205,04"
"10.03.2021","TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","3,790512","11.403.096,00","901","43.223.575,35"
"10.03.2021","TGA","GARANTİ PORTFÖY DÖRDÜNCÜ DEĞİŞKEN FON","0,035743","423.803.634,00","986","15.148.203,49"
"10.03.2021","TGE","İŞ PORTFÖY EMTIA YABANCI BYF FON SEPETI FONU","0,028723","4.731.782.044,00","3.841","135.909.813,35"
"10.03.2021","TGT","GARANTİ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","0,023455","22.599.957.723,00","67.090","530.078.327,62"
