"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"01.04.2021","GZR","GARANTİ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,901258","5.443.818,00","322","4.906.282,73"
"01.04.2021","GZV","GARANTİ PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU","1,105972","2.007.594,00","236","2.220.342,38"
"01.04.2021","HAG","GARANTİ PORTFÖY 2022 SERBEST (DÖVİZ-ABD DOLARI) FON","0,000000","0,00","0","0,00"
"01.04.2021","HBF","HSBC PORTFÖY ALTIN FONU","3,779284","41.933.473,00","3.853","158.478.510,63"
"01.04.2021","HBU","HSBC PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,112881","70.673.700,00","525","7.977.736,19"
"01.04.2021","HDB","HSBC PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","8,666402","50.503.354,00","318","437.682.371,59"
"01.04.2021","HDH","HEDEF PORTFÖY DOĞU HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON)","31,106617","2.250.300,00","4","69.999.219,96"
"01.04.2021","HDS","HEDEF PORTFÖY SERBEST FON","1,909741","100.496.503,00","7","191.922.318,10"
"01.04.2021","HFF","GARANTİ PORTFÖY 2024 SERBEST (DÖVİZ-ABD DOLARI) FON","0,000000","0,00","0","0,00"
"01.04.2021","HII","HSBC PYŞ BİRİNCİ SERBEST (DÖVİZ) ÖZEL FON","0,399080","367.673.538,00","1","146.731.238,50"
"01.04.2021","HKV","ZİRAAT PORTFÖY HALKBANK KISA VADELİ BORÇLANMA ARAÇLARI FONU","116,409085","3.584.691,00","28.169","417.290.598,11"
"01.04.2021","HLL","ZİRAAT PORTFÖY HALKBANK PARA PİYASASI FONU","0,067838","40.949.136.272,00","768.640","2.777.907.881,92"
"01.04.2021","HMG","HSBC PYŞ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON)","0,010834","50.755.797.964,00","955","549.863.777,86"
"01.04.2021","HMK","HEDEF PORTFÖY EGE HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON)","11,980107","12.679.669,00","55","151.903.790,05"
"01.04.2021","HMR","HEDEF PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","0,000000","0,00","0","0,00"
